feature,importance
gem_value,0.11838123928297861
average_rating,0.08418599544076893
want,0.08200610316900231
num_for_sale,0.06473366622762525
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Mispress, Stereo",0.047641296952178294
have,0.04258338460128806
rating_count,0.03484421093021752
"style_Techno, Electro, Video Game Music",0.031403217000655466
demand_coefficient,0.02915608855796194
num_tracks,0.028154725284415063
year,0.02770730009362209
total_duration_min,0.025867493984941894
rating_coefficient,0.02571134843505852
"format_Vinyl, 12"", Compilation, Picture Disc, Promo",0.025063437634465852
"style_Techno, Electro, Acid",0.02036937519246406
"style_Techno, Synth-pop, Ballad, J-pop, Pop Rock",0.013163027781678133
"format_Vinyl, 12"", EP, 33 ⅓ RPM, 45 RPM, Promo",0.011930601318906105
"style_Gabber, Happy Hardcore, Hardcore, Techno",0.009241192610948171
country_US,0.008475929219522775
country_Europe,0.006847950158163051
"style_Breakbeat, Hardcore, Techno",0.006574150740431536
country_Norway,0.006480425223933402
"format_Vinyl, 12""",0.0060999524443995385
"style_House, Techno",0.005669770463945466
country_UK,0.0056325640245514265
"style_Techno, Industrial",0.005341566627843301
"format_Vinyl, 12"", 33 ⅓ RPM, Single Sided, EP",0.0047074840349827
"format_Vinyl, 12"", White Label",0.004606455548773854
"style_Soul, Disco, Techno, House",0.004004032059750785
"format_Vinyl, 12"", EP",0.0035715902455362675
"style_Techno, Electro",0.0035443337878264523
style_Techno,0.003478916398331605
"style_Trance, Techno, House",0.0031557030822959463
"style_Breakbeat, House, Techno, Electro",0.0031111945565145075
"style_Eurobeat, Techno",0.003064134939192924
"style_Trance, Techno, Hard House",0.0030602389678024916
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Limited Edition, Promo, White Label",0.0030354921310261217
"format_Vinyl, 12"", 33 ⅓ RPM, EP",0.0030037747072214275
country_Germany,0.0028034200296492605
"format_Vinyl, 12"", 33 ⅓ RPM",0.002622950097672729
"format_Vinyl, LP, Album, Limited Edition, Numbered, Promo, White Label",0.0026145804751049576
"style_Techno, Experimental",0.00253801917406085
"style_Techno, Tribal",0.0024889125325141576
"style_Techno, Acid",0.002275623281324149
"format_Vinyl, LP, Album, White Label",0.0022743844755985874
"format_Vinyl, 12"", 33 ⅓ RPM, Test Pressing",0.002175532055303412
"format_Vinyl, 12"", 33 ⅓ RPM, Compilation, Limited Edition, Promo, Unofficial Release, Stereo",0.002124511327078646
country_Poland,0.001987135005205247
country_Unknown,0.0019794524381827354
"format_Vinyl, 12"", Single Sided",0.0019461421539999455
"format_Vinyl, LP, Album",0.0019381040654569011
"style_Techno, Synth-pop, New Wave",0.0018454620351928282
"style_House, Techno, Disco, French House",0.0017125220234400845
"style_Techno, Trance, Tech Trance",0.0017047950133985065
country_France,0.001702769440740248
"style_Progressive House, Techno, Progressive Trance, Ambient, Breakbeat",0.0016857774098138
"style_Techno, Video Game Music",0.0016660894275696194
"style_Techno, Minimal",0.0016358686342707437
country_Italy,0.001618490551711113
"format_Vinyl, 12"", 45 RPM",0.0016058447147701317
"style_Techno, UK Garage, House",0.0015995818732543435
"format_Vinyl, 12"", Limited Edition, Repress, 33 ⅓ RPM",0.0015445667575328267
"format_Vinyl, 12"", 45 RPM, Single Sided, White Label",0.0014722621153517642
"style_Hardcore, Techno, Gabber",0.0013987639374904528
"format_Vinyl, 12"", Promo, White Label",0.0013792018188802113
"format_Vinyl, 12"", 45 RPM, Promo, White Label",0.0013789971464737054
country_Japan,0.001377532331769125
