feature,importance
num_for_sale,0.14689077209843587
want,0.14393153641961615
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Mispress, Stereo",0.13433719327702803
gem_value,0.11407878599275638
"style_Techno, Electro, Video Game Music",0.07804217530350922
have,0.060272529577505785
"format_Vinyl, 12"", Compilation, Picture Disc, Promo",0.0542676877629308
average_rating,0.04653579143650576
"style_Techno, Synth-pop, Ballad, J-pop, Pop Rock",0.02867488279179638
"style_Techno, Industrial",0.019634198592068726
year,0.017752116113733146
"format_Vinyl, 12"", EP, 33 ⅓ RPM, 45 RPM, Promo",0.016222124897875445
"format_Vinyl, LP, Album, Limited Edition, Numbered, Promo, White Label",0.011360009925996123
"format_Vinyl, 12"", 33 ⅓ RPM, Single Sided, EP",0.010969235285098727
"style_Breakbeat, House, Techno, Electro",0.008308361507197722
num_tracks,0.007116903454619372
total_duration_min,0.006404708162924015
"format_Vinyl, 12"", Limited Edition, Picture Disc, 45 RPM, Mixed",0.006047500846183861
country_Norway,0.005184096491651106
rating_coefficient,0.0050051381962601
"format_Vinyl, 12"", 33 ⅓ RPM, Compilation, Limited Edition, Promo, Unofficial Release, Stereo",0.0049637998473754455
"style_Soul, Disco, Techno, House",0.004629631271915808
"style_Techno, Electro, Acid",0.004275954573642845
"style_Eurobeat, Techno",0.0037861260698237166
"style_Techno, Tribal",0.0037466048172771285
"style_Techno, Video Game Music",0.0036546460359547167
"style_Acid House, Techno, Euro House, Funk, Soul",0.003549712840685346
rating_count,0.003514225543992524
demand_coefficient,0.003508974770392358
"style_Progressive House, Techno, Progressive Trance, Ambient, Breakbeat",0.0034704623983220586
"format_Vinyl, 12"", 33 ⅓ RPM, EP, Limited Edition, Promo, White Label",0.003206282010100486
"format_Vinyl, 12"", Box Set, Limited Edition, Numbered",0.0028702513441654924
"style_Techno, UK Garage, House",0.002648447189769779
country_Europe,0.002459046946892438
"style_Trance, Techno, Hard House",0.002440184063784834
"style_Progressive House, House, Trance, Tech House, Techno, Breakbeat",0.0020940762469517176
"style_Techno, Trance, Tech Trance",0.0016412838477448547
"style_Techno, Synth-pop, Tech House, Anison",0.0015985424750222569
"format_Vinyl, 12"", 45 RPM, Promo, White Label",0.0014584597375512506
"genre_Electronic, Hip Hop, Jazz, Rock, Reggae, Latin, Funk / Soul, Pop, Folk, World, & Country",0.0014347954036808895
"style_House, Italo House, Hardcore, Techno",0.001407917944951959
